DATE,CORESTICKM159SFRBATL
2013-05-01,1.905048
2013-06-01,1.874046
2013-07-01,1.865294
2013-08-01,1.911745
2013-09-01,1.888205
2013-10-01,1.866698
2013-11-01,1.890963
2013-12-01,1.872378
2014-01-01,1.821944
2014-02-01,1.789204
2014-03-01,1.821445
2014-04-01,2.025724
2014-05-01,2.127518
2014-06-01,2.142724
2014-07-01,2.098319
2014-08-01,1.959017
2014-09-01,1.95017
2014-10-01,2.001463
2014-11-01,1.999147
2014-12-01,1.961226
2015-01-01,1.976365
2015-02-01,1.972517
2015-03-01,1.989606
2015-04-01,2.05371
2015-05-01,2.056561
2015-06-01,2.103732
2015-07-01,2.130475
2015-08-01,2.169207
2015-09-01,2.268536
2015-10-01,2.335492
2015-11-01,2.394625
2015-12-01,2.437497
2016-01-01,2.460879
2016-02-01,2.538253
2016-03-01,2.526214
2016-04-01,2.53143
2016-05-01,2.565678
2016-06-01,2.563629
2016-07-01,2.569655
2016-08-01,2.716347
2016-09-01,2.624799
2016-10-01,2.502268
2016-11-01,2.518564
2016-12-01,2.585286
2017-01-01,2.651739
2017-02-01,2.664566
2017-03-01,2.436586
2017-04-01,2.235672
2017-05-01,2.139634
2017-06-01,2.122109
2017-07-01,2.131777
2017-08-01,2.075047
2017-09-01,2.091354
2017-10-01,2.177581
2017-11-01,2.099803
2017-12-01,2.117186
2018-01-01,2.157823
2018-02-01,2.123101
2018-03-01,2.366925
2018-04-01,2.491592
2018-05-01,2.543212
2018-06-01,2.551897
2018-07-01,2.518753
2018-08-01,2.432443
2018-09-01,2.462881
2018-10-01,2.415236
2018-11-01,2.476418
2018-12-01,2.456173
2019-01-01,2.375054
2019-02-01,2.375943
2019-03-01,2.356946
2019-04-01,2.392773
2019-05-01,2.360903
2019-06-01,2.392597
2019-07-01,2.475923
2019-08-01,2.630398
2019-09-01,2.622934
2019-10-01,2.747596
2019-11-01,2.772021
2019-12-01,2.752609
2020-01-01,2.790484
2020-02-01,2.800101
2020-03-01,2.606553
2020-04-01,2.179323
2020-05-01,2.01414
2020-06-01,1.993544
2020-07-01,2.281283
2020-08-01,2.213149
2020-09-01,1.980283
2020-10-01,1.747303
2020-11-01,1.697582
2020-12-01,1.600671
2021-01-01,1.400569
2021-02-01,1.405123
2021-03-01,1.592366
2021-04-01,2.209393
2021-05-01,2.562825
2021-06-01,2.558145
2021-07-01,2.323597
2021-08-01,2.332419
2021-09-01,2.610662
2021-10-01,3.007604
2021-11-01,3.184384
2021-12-01,3.456458
2022-01-01,3.965498
2022-02-01,4.280304
2022-03-01,4.534344
2022-04-01,4.703935
2022-05-01,4.950974
2022-06-01,5.39633
2022-07-01,5.59073
2022-08-01,5.951312
2022-09-01,6.348017
2022-10-01,6.312946
2022-11-01,6.422543
2022-12-01,6.538167
2023-01-01,6.487554
2023-02-01,6.525
2023-03-01,6.390946
2023-04-01,6.264224
2023-05-01,5.975255
2023-06-01,5.586684
2023-07-01,5.405751
2023-08-01,5.172225
2023-09-01,4.95977
2023-10-01,4.882928
2023-11-01,4.688293
2023-12-01,4.554396
2024-01-01,4.603922367
2024-02-01,4.403102398
2024-03-01,4.509212494
2024-04-01,4.412394524
2024-05-01,4.302023411
2024-06-01,4.226875782
2024-07-01,4.164950848
2024-08-01,4.103705883
2024-09-01,4.010873318
